DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
87813160D,Arnau,Ferrer,Arnau Ferrer,Espanya,Sí,València,1990-03-24,24,3,1990,36,Altres,Sí,Grup D,2605.0,0.08,2813.4
81992107P,María,Cruz,María Cruz,Mèxic,No,Ciutat de Mèxic,1958-03-14,14,3,1958,68,Dona,Sí,Grup D,2653.0,0.08,2865.2400000000002
86419307C,Eva,Castells Romero,Eva Castells Romero,Espanya,Sí,Bilbao,1988-07-25,25,7,1988,37,Dona,Sí,Grup D,2433.0,0.08,2627.6400000000003
94076717B,Marc,López,Marc López,Espanya,Sí,Sevilla,1987-02-08,8,2,1987,39,,No,Grup D,2969.0,0.08,3206.5200000000004
63108914N,Joan,Martínez Sánchez,Joan Martínez Sánchez,Espanya,Sí,València,1986-02-18,18,2,1986,40,Home,Sí,Grup D,3318.0,0.08,3583.44
19631537S,Laia,Ferrer,Laia Ferrer,Espanya,Sí,Barcelona,1987-12-21,21,12,1987,38,Dona,Sí,Grup D,2825.0,0.08,3051.0
10624826J,Laia,Sánchez López,Laia Sánchez López,Espanya,Sí,Bilbao,1972-08-05,5,8,1972,53,Dona,No,Grup D,2964.0,0.08,3201.1200000000003
31274825R,Clara,García Martínez,Clara García Martínez,Espanya,Sí,Sevilla,1986-09-02,2,9,1986,39,Dona,No,Grup D,2396.0,0.08,2587.6800000000003
19356603P,Marta,Castells,Marta Castells,Espanya,Sí,Barcelona,2003-10-02,2,10,2003,22,Dona,No,Grup D,2683.0,0.08,2897.6400000000003
19313369G,Florencia,Rodríguez Álvarez,Florencia Rodríguez Álvarez,Argentina,No,Còrdova,1999-11-27,27,11,1999,26,Dona,No,Grup D,3014.0,0.08,3255.1200000000003
26634596X,Laura,Schneider Müller,Laura Schneider Müller,Alemanya,No,Munic,1990-11-28,28,11,1990,35,Dona,No,Grup D,2778.0,0.08,3000.2400000000002
53672811D,Carla,Sánchez,Carla Sánchez,Espanya,Sí,València,1957-03-06,6,3,1957,69,Dona,Sí,Grup D,2951.0,0.08,3187.0800000000004
30289780L,Clara,López,Clara López,Espanya,Sí,València,1951-02-17,17,2,1951,75,Dona,Sí,Grup D,2917.0,0.08,3150.36
67448348B,Pau,García Romero,Pau García Romero,Espanya,Sí,Madrid,1983-12-27,27,12,1983,42,Home,No,Grup D,2821.0,0.08,3046.6800000000003
46470158A,Arnau,Romero,Arnau Romero,Espanya,Sí,Bilbao,1951-06-26,26,6,1951,74,Home,Sí,Grup D,3329.0,0.08,3595.32
68247465J,Joan,Martínez Romero,Joan Martínez Romero,Espanya,Sí,Sevilla,1971-07-04,4,7,1971,54,Home,No,Grup D,2975.0,0.08,3213.0
26689120S,Clara,Romero,Clara Romero,Espanya,Sí,València,1974-01-04,4,1,1974,52,Dona,Sí,Grup D,3021.0,0.08,3262.6800000000003
29203160E,Arnau,López Martínez,Arnau López Martínez,Espanya,Sí,València,1970-01-24,24,1,1970,56,Home,Sí,Grup D,3253.0,0.08,3513.2400000000002
44060014R,Jonas,Schneider,Jonas Schneider,Alemanya,No,Berlín,1985-11-22,22,11,1985,40,Home,Sí,Grup D,2754.0,0.08,2974.32
12868239Z,Toni,López,Toni López,Espanya,Sí,Sevilla,1989-03-10,10,3,1989,37,Home,No,Grup D,2882.0,0.08,3112.5600000000004
65535145H,Pau,Castells,Pau Castells,Espanya,Sí,Bilbao,1953-07-20,20,7,1953,72,Home,No,Grup D,2952.0,0.08,3188.1600000000003
33366982Q,Pau,García,Pau García,Espanya,Sí,Madrid,1976-03-11,11,3,1976,50,,No,Grup D,2910.0,0.08,3142.8
13080692S,Eva,Ferrer Romero,Eva Ferrer Romero,Espanya,Sí,Barcelona,2005-11-01,1,11,2005,20,Dona,No,Grup D,2899.0,0.08,3130.92
14345055N,Michel,Girard Dubois,Michel Girard Dubois,França,No,París,1970-08-09,9,8,1970,55,Home,No,Grup D,2973.0,0.08,3210.84
96810023K,Jordi,López,Jordi López,Espanya,Sí,Madrid,1995-06-25,25,6,1995,30,Home,No,Grup D,3258.0,0.08,3518.6400000000003
87285985P,Clara,Sánchez,Clara Sánchez,Espanya,Sí,Madrid,2002-10-01,1,10,2002,23,Altres,Sí,Grup D,3142.0,0.08,3393.36
23290905N,Laia,López Castells,Laia López Castells,Espanya,Sí,Madrid,1971-08-13,13,8,1971,54,,Sí,Grup D,2615.0,0.08,2824.2000000000003
30561064P,Oriol,López Castells,Oriol López Castells,Espanya,Sí,Madrid,1987-04-14,14,4,1987,39,Home,No,Grup D,3356.0,0.08,3624.48
68512981B,Leon,Schneider Schneider,Leon Schneider Schneider,Alemanya,No,Hamburg,1977-10-16,16,10,1977,48,Home,No,Grup D,2984.0,0.08,3222.7200000000003
70201568H,Joan,Martínez Ferrer,Joan Martínez Ferrer,Espanya,Sí,València,1964-03-12,12,3,1964,62,Home,No,Grup D,2905.0,0.08,3137.4
28237150F,Giovanni,Rossi Russo,Giovanni Rossi Russo,Itàlia,No,Torí,2000-12-10,10,12,2000,25,Home,Sí,Grup D,2864.0,0.08,3093.1200000000003
60305889V,Oriol,Ferrer,Oriol Ferrer,Espanya,Sí,Madrid,1995-03-12,12,3,1995,31,Home,Sí,Grup D,3257.0,0.08,3517.5600000000004
25997800F,Beatriz,Ferreira Pereira,Beatriz Ferreira Pereira,Portugal,No,Lisboa,2004-10-25,25,10,2004,21,Dona,Sí,Grup D,2376.0,0.08,2566.0800000000004
49712589T,Marta,López,Marta López,Espanya,Sí,Madrid,2004-07-09,9,7,2004,21,Dona,No,Grup D,2765.0,0.08,2986.2000000000003
68438696L,Clara,López Castells,Clara López Castells,Espanya,Sí,València,1982-04-09,9,4,1982,44,Dona,No,Grup D,3002.0,0.08,3242.1600000000003
96650060J,Anna,Sánchez Castells,Anna Sánchez Castells,Espanya,Sí,Sevilla,1960-02-01,1,2,1960,66,Dona,No,Grup D,2630.0,0.08,2840.4
