DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
59715366K,Oriol,Romero Sánchez,Oriol Romero Sánchez,Espanya,Sí,Bilbao,1997-02-06,6,2,1997,29,Home,Sí,Grup C,2788.0,0.02,2843.76
73661586C,Carla,Ferrer,Carla Ferrer,Espanya,Sí,Sevilla,1955-09-11,11,9,1955,70,Dona,Sí,Grup C,2060.0,0.02,2101.2
78532778V,Élise,Lefevre,Élise Lefevre,França,No,París,1972-11-07,7,11,1972,53,Dona,Sí,Grup C,1696.0,0.02,1729.92
93040786Z,Élise,Dubois,Élise Dubois,França,No,Lió,1950-12-04,4,12,1950,75,Dona,No,Grup C,1870.0,0.02,1907.4
93244065C,Jordi,García Romero,Jordi García Romero,Espanya,Sí,Barcelona,1952-05-28,28,5,1952,73,Home,Sí,Grup C,2547.0,0.02,2597.94
25654945Y,Andrés,Rojas Castro,Andrés Rojas Castro,Colòmbia,No,Medellín,1974-09-20,20,9,1974,51,Home,No,Grup C,2397.0,0.02,2444.94
65882859J,Arnau,Martínez,Arnau Martínez,Espanya,Sí,Sevilla,1962-06-03,3,6,1962,63,Home,Sí,Grup C,1844.0,0.02,1880.88
98830242H,Carla,Sánchez,Carla Sánchez,Espanya,Sí,Sevilla,1952-01-02,2,1,1952,74,Dona,No,Grup C,1786.0,0.02,1821.72
37195438N,Carla,Romero,Carla Romero,Espanya,Sí,Madrid,1991-11-08,8,11,1991,34,Dona,Sí,Grup C,2517.0,0.02,2567.34
26427399L,Pau,Castells,Pau Castells,Espanya,Sí,Barcelona,1986-01-22,22,1,1986,40,Home,No,Grup C,2208.0,0.02,2252.16
53518484J,Joan,Martínez,Joan Martínez,Espanya,Sí,Barcelona,1999-09-14,14,9,1999,26,Home,No,Grup C,2725.0,0.02,2779.5
82052269P,Eva,Romero Romero,Eva Romero Romero,Espanya,Sí,Sevilla,1954-02-26,26,2,1954,72,Dona,No,Grup C,1732.0,0.02,1766.64
17966918Y,Arnau,Ferrer Sánchez,Arnau Ferrer Sánchez,Espanya,Sí,Madrid,1964-07-17,17,7,1964,61,Home,No,Grup C,2311.0,0.02,2357.2200000000003
75892043S,Sara,Gutiérrez,Sara Gutiérrez,Colòmbia,No,Bogotà,1954-06-12,12,6,1954,71,Dona,Sí,Grup C,2656.0,0.02,2709.12
89805468T,Marc,García Ferrer,Marc García Ferrer,Espanya,Sí,València,1968-05-21,21,5,1968,57,Home,Sí,Grup C,2143.0,0.02,2185.86
67320503B,Toni,López,Toni López,Espanya,Sí,Bilbao,1998-01-26,26,1,1998,28,Home,No,Grup C,1862.0,0.02,1899.24
27295557B,Laia,García García,Laia García García,Espanya,Sí,Madrid,1972-12-08,8,12,1972,53,Dona,Sí,Grup C,2225.0,0.02,2269.5
59487847J,Carla,Sánchez Romero,Carla Sánchez Romero,Espanya,Sí,València,1959-10-17,17,10,1959,66,Dona,Sí,Grup C,2405.0,0.02,2453.1
83274277X,Anna,Müller,Anna Müller,Alemanya,No,Hamburg,1987-01-01,1,1,1987,39,Dona,No,Grup C,2464.0,0.02,2513.28
59909991M,Núria,Martínez,Núria Martínez,Espanya,Sí,Barcelona,1981-06-19,19,6,1981,44,Dona,No,Grup C,1939.0,0.02,1977.78
55213721K,Joan,López Ferrer,Joan López Ferrer,Espanya,Sí,Barcelona,1951-06-21,21,6,1951,74,Home,No,Grup C,2789.0,0.02,2844.78
17523109M,Daniel,Gutiérrez Castro,Daniel Gutiérrez Castro,Colòmbia,No,Bogotà,1951-07-08,8,7,1951,74,Home,No,Grup C,2642.0,0.02,2694.84
58817861M,Isla,Brown Jones,Isla Brown Jones,Regne Unit,No,Londres,1954-03-05,5,3,1954,72,Altres,Sí,Grup C,2280.0,0.02,2325.6
60161784X,Laura,Schmidt Müller,Laura Schmidt Müller,Alemanya,No,Hamburg,1987-06-15,15,6,1987,38,,Sí,Grup C,2035.0,0.02,2075.7
34121407E,Arnau,López Sánchez,Arnau López Sánchez,Espanya,Sí,Barcelona,1951-05-22,22,5,1951,74,Home,Sí,Grup C,1690.0,0.02,1723.8
66268793B,Oriol,Castells,Oriol Castells,Espanya,Sí,Barcelona,1950-07-08,8,7,1950,75,Home,Sí,Grup C,2780.0,0.02,2835.6
18736805D,Laia,Romero,Laia Romero,Espanya,Sí,Barcelona,1962-04-17,17,4,1962,64,Dona,No,Grup C,1761.0,0.02,1796.22
28923859R,Eva,Sánchez Castells,Eva Sánchez Castells,Espanya,Sí,Bilbao,1987-09-23,23,9,1987,38,Dona,Sí,Grup C,2616.0,0.02,2668.32
35978728B,Jordi,García García,Jordi García García,Espanya,Sí,València,1967-06-18,18,6,1967,58,Home,Sí,Grup C,2391.0,0.02,2438.82
59804478P,Núria,Martínez Ferrer,Núria Martínez Ferrer,Espanya,Sí,Bilbao,1965-03-27,27,3,1965,61,Dona,No,Grup C,2293.0,0.02,2338.86
52501105S,Marc,Castells,Marc Castells,Espanya,Sí,Bilbao,1984-09-11,11,9,1984,41,Home,No,Grup C,1844.0,0.02,1880.88
75949005H,María,Cruz,María Cruz,Mèxic,No,Guadalajara,1963-01-27,27,1,1963,63,Dona,No,Grup C,2413.0,0.02,2461.26
72374089J,Joan,Martínez Romero,Joan Martínez Romero,Espanya,Sí,Sevilla,1994-04-20,20,4,1994,32,,No,Grup C,1835.0,0.02,1871.7
30932082P,Marta,López,Marta López,Espanya,Sí,Bilbao,1954-09-02,2,9,1954,71,Altres,Sí,Grup C,1922.0,0.02,1960.44
82680101W,Marc,Romero Ferrer,Marc Romero Ferrer,Espanya,Sí,València,1993-09-22,22,9,1993,32,Home,Sí,Grup C,1743.0,0.02,1777.8600000000001
53071392K,Oriol,Martínez,Oriol Martínez,Espanya,Sí,Barcelona,2002-07-09,9,7,2002,23,Home,Sí,Grup C,2019.0,0.02,2059.38
58004635G,Marc,Martínez Sánchez,Marc Martínez Sánchez,Espanya,Sí,Bilbao,1965-12-21,21,12,1965,60,Home,Sí,Grup C,2247.0,0.02,2291.94
84495908R,Toni,Sánchez Romero,Toni Sánchez Romero,Espanya,Sí,Bilbao,1952-12-18,18,12,1952,73,Home,No,Grup C,2034.0,0.02,2074.68
41260739H,Anna,Ferrer,Anna Ferrer,Espanya,Sí,Sevilla,2000-05-25,25,5,2000,25,Dona,No,Grup C,2164.0,0.02,2207.28
35577350W,Juan,Gómez Gómez,Juan Gómez Gómez,Argentina,No,Còrdova,1994-10-09,9,10,1994,31,Home,Sí,Grup C,1685.0,0.02,1718.7
44346665J,Laia,Romero Martínez,Laia Romero Martínez,Espanya,Sí,València,1963-07-18,18,7,1963,62,Altres,No,Grup C,2049.0,0.02,2089.98
76029605D,Carla,Ferrer García,Carla Ferrer García,Espanya,Sí,València,1970-02-25,25,2,1970,56,Dona,No,Grup C,2514.0,0.02,2564.28
15664344B,Pau,García,Pau García,Espanya,Sí,València,2000-03-01,1,3,2000,26,Home,No,Grup C,2390.0,0.02,2437.8
49180523M,Oriol,López Martínez,Oriol López Martínez,Espanya,Sí,Madrid,1978-03-17,17,3,1978,48,Home,Sí,Grup C,2283.0,0.02,2328.66
96612764F,Isla,Smith Brown,Isla Smith Brown,Regne Unit,No,Londres,1991-09-24,24,9,1991,34,Dona,Sí,Grup C,2169.0,0.02,2212.38
15895974X,Núria,Ferrer,Núria Ferrer,Espanya,Sí,Barcelona,1957-04-10,10,4,1957,69,Dona,No,Grup C,2366.0,0.02,2413.32
54990944C,Laia,Sánchez Romero,Laia Sánchez Romero,Espanya,Sí,Bilbao,1960-12-04,4,12,1960,65,Dona,Sí,Grup C,2060.0,0.02,2101.2
18647358J,Maria,Silva,Maria Silva,Portugal,No,Porto,1991-12-14,14,12,1991,34,Altres,No,Grup C,2458.0,0.02,2507.16
80122915D,Jordi,Romero García,Jordi Romero García,Espanya,Sí,Bilbao,1978-12-05,5,12,1978,47,Home,Sí,Grup C,1948.0,0.02,1986.96
68222849D,Marta,López,Marta López,Espanya,Sí,València,1971-11-04,4,11,1971,54,Dona,Sí,Grup C,2351.0,0.02,2398.02
29661736H,Marta,López,Marta López,Espanya,Sí,Madrid,2001-07-16,16,7,2001,24,Dona,Sí,Grup C,1963.0,0.02,2002.26
11962486C,Oriol,Sánchez,Oriol Sánchez,Espanya,Sí,Sevilla,1958-02-27,27,2,1958,68,Home,No,Grup C,2539.0,0.02,2589.78
63666276G,Joan,Romero,Joan Romero,Espanya,Sí,Sevilla,1952-11-10,10,11,1952,73,Home,No,Grup C,1904.0,0.02,1942.08
80745485X,Pau,Sánchez Martínez,Pau Sánchez Martínez,Espanya,Sí,Madrid,1981-03-02,2,3,1981,45,Home,Sí,Grup C,2510.0,0.02,2560.2
81908160Z,Toni,Martínez,Toni Martínez,Espanya,Sí,València,1978-07-13,13,7,1978,47,Home,Sí,Grup C,1928.0,0.02,1966.56
22768293W,Jordi,López,Jordi López,Espanya,Sí,Madrid,1996-04-27,27,4,1996,30,Home,Sí,Grup C,2843.0,0.02,2899.86
36744704Y,Carla,López López,Carla López López,Espanya,Sí,València,1970-10-09,9,10,1970,55,Dona,No,Grup C,2201.0,0.02,2245.02
75528612H,Núria,Martínez Sánchez,Núria Martínez Sánchez,Espanya,Sí,Barcelona,1999-07-23,23,7,1999,26,Dona,Sí,Grup C,2185.0,0.02,2228.7
65854367Q,Toni,López García,Toni López García,Espanya,Sí,Bilbao,1976-02-23,23,2,1976,50,Home,No,Grup C,2485.0,0.02,2534.7
47126739B,Carla,Ferrer,Carla Ferrer,Espanya,Sí,Barcelona,1963-12-17,17,12,1963,62,Dona,Sí,Grup C,1928.0,0.02,1966.56
29356893J,Jordi,García,Jordi García,Espanya,Sí,Sevilla,1987-06-13,13,6,1987,38,Home,Sí,Grup C,2730.0,0.02,2784.6
76315436N,Joan,Martínez,Joan Martínez,Espanya,Sí,Sevilla,1976-05-26,26,5,1976,49,Home,No,Grup C,2817.0,0.02,2873.34
87416108F,Marta,Martínez Romero,Marta Martínez Romero,Espanya,Sí,Sevilla,1955-09-07,7,9,1955,70,Dona,No,Grup C,1962.0,0.02,2001.24
99057187Q,Joan,Ferrer García,Joan Ferrer García,Espanya,Sí,Bilbao,1995-05-05,5,5,1995,31,Home,Sí,Grup C,2856.0,0.02,2913.12
39025961G,Pau,Sánchez,Pau Sánchez,Espanya,Sí,Sevilla,1953-10-20,20,10,1953,72,Home,No,Grup C,2765.0,0.02,2820.3
36305607S,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Barcelona,1976-03-01,1,3,1976,50,Home,No,Grup C,1761.0,0.02,1796.22
20752389X,Eva,Romero,Eva Romero,Espanya,Sí,Sevilla,1964-11-16,16,11,1964,61,,No,Grup C,1960.0,0.02,1999.2
78312427G,Toni,Romero Ferrer,Toni Romero Ferrer,Espanya,Sí,Bilbao,1970-12-13,13,12,1970,55,Home,No,Grup C,2346.0,0.02,2392.92
62062006Z,Jordi,Romero,Jordi Romero,Espanya,Sí,València,1973-01-01,1,1,1973,53,Home,No,Grup C,2306.0,0.02,2352.12
56029646T,Camille,Girard Lefevre,Camille Girard Lefevre,França,No,Marsella,2003-12-07,7,12,2003,22,Dona,Sí,Grup C,2447.0,0.02,2495.94
90082879P,Jordi,Martínez Sánchez,Jordi Martínez Sánchez,Espanya,Sí,Barcelona,1970-12-12,12,12,1970,55,Home,Sí,Grup C,2662.0,0.02,2715.2400000000002
59664001Z,Arnau,Martínez López,Arnau Martínez López,Espanya,Sí,Barcelona,1979-09-05,5,9,1979,46,Home,No,Grup C,2294.0,0.02,2339.88
25380605S,Luisa,Ramírez,Luisa Ramírez,Mèxic,No,Guadalajara,1984-06-08,8,6,1984,41,Dona,No,Grup C,1860.0,0.02,1897.2
43195593E,Daniela,Castro,Daniela Castro,Colòmbia,No,Bogotà,1954-02-05,5,2,1954,72,Dona,Sí,Grup C,2030.0,0.02,2070.6
45323039E,Andrés,Gutiérrez Rojas,Andrés Gutiérrez Rojas,Colòmbia,No,Bogotà,1986-03-18,18,3,1986,40,Home,No,Grup C,2685.0,0.02,2738.7000000000003
63445794B,Oriol,Romero Romero,Oriol Romero Romero,Espanya,Sí,Sevilla,1964-07-11,11,7,1964,61,Altres,No,Grup C,1950.0,0.02,1989.0
92210964M,Camila,Hernández,Camila Hernández,Mèxic,No,Guadalajara,1978-09-26,26,9,1978,47,Dona,Sí,Grup C,2295.0,0.02,2340.9
66120457F,Núria,Sánchez Romero,Núria Sánchez Romero,Espanya,Sí,Sevilla,1974-01-09,9,1,1974,52,Dona,No,Grup C,1901.0,0.02,1939.02
19304110P,Arnau,García Romero,Arnau García Romero,Espanya,Sí,Madrid,1970-12-13,13,12,1970,55,Home,No,Grup C,2316.0,0.02,2362.32
55178117L,Marc,García Castells,Marc García Castells,Espanya,Sí,València,1983-12-20,20,12,1983,42,Home,Sí,Grup C,2912.0,0.02,2970.2400000000002
23895788L,Marc,Castells,Marc Castells,Espanya,Sí,Madrid,1978-08-03,3,8,1978,47,Home,No,Grup C,1744.0,0.02,1778.88
95216936L,Jordi,Castells,Jordi Castells,Espanya,Sí,Sevilla,1986-12-14,14,12,1986,39,Altres,Sí,Grup C,2259.0,0.02,2304.18
80698214F,Joan,Romero,Joan Romero,Espanya,Sí,Barcelona,1985-01-08,8,1,1985,41,Home,No,Grup C,2390.0,0.02,2437.8
96250825S,Jordi,Castells López,Jordi Castells López,Espanya,Sí,Bilbao,1961-02-12,12,2,1961,65,Home,Sí,Grup C,2360.0,0.02,2407.2
74953524F,Sophie,Brown,Sophie Brown,Regne Unit,No,Londres,1983-05-17,17,5,1983,43,Dona,Sí,Grup C,2189.0,0.02,2232.78
59717596Z,Camila,Cruz Ramírez,Camila Cruz Ramírez,Mèxic,No,Guadalajara,1994-10-04,4,10,1994,31,Dona,Sí,Grup C,1824.0,0.02,1860.48
37902729B,Joan,Romero García,Joan Romero García,Espanya,Sí,Bilbao,1954-01-25,25,1,1954,72,Home,No,Grup C,2016.0,0.02,2056.32
96487370W,Marc,Castells,Marc Castells,Espanya,Sí,Barcelona,1952-06-15,15,6,1952,73,Home,Sí,Grup C,2607.0,0.02,2659.14
42807414J,Laia,Sánchez,Laia Sánchez,Espanya,Sí,València,1967-07-17,17,7,1967,58,Dona,No,Grup C,2255.0,0.02,2300.1
61558898W,Anna,Fischer,Anna Fischer,Alemanya,No,Hamburg,1985-05-14,14,5,1985,41,Dona,Sí,Grup C,2443.0,0.02,2491.86
22381649M,Inês,Silva,Inês Silva,Portugal,No,Lisboa,1980-02-28,28,2,1980,46,Dona,Sí,Grup C,1558.0,0.02,1589.16
93349542M,Marc,Sánchez García,Marc Sánchez García,Espanya,Sí,Sevilla,1974-03-04,4,3,1974,52,Altres,Sí,Grup C,1611.0,0.02,1643.22
88420532P,Rui,Oliveira,Rui Oliveira,Portugal,No,Lisboa,1951-03-09,9,3,1951,75,Home,No,Grup C,1894.0,0.02,1931.88
77573960D,Laia,Romero López,Laia Romero López,Espanya,Sí,Sevilla,2005-06-23,23,6,2005,20,Dona,No,Grup C,2360.0,0.02,2407.2
94364172S,Andrés,Hernández Hernández,Andrés Hernández Hernández,Mèxic,No,Ciutat de Mèxic,1983-12-11,11,12,1983,42,Home,No,Grup C,2172.0,0.02,2215.44
90836935Y,Élise,Moreau,Élise Moreau,França,No,París,1959-10-09,9,10,1959,66,Dona,Sí,Grup C,2107.0,0.02,2149.14
25564518R,Joan,López García,Joan López García,Espanya,Sí,Bilbao,1987-11-21,21,11,1987,38,Home,No,Grup C,2629.0,0.02,2681.58
88633819Y,Clara,Romero López,Clara Romero López,Espanya,Sí,Bilbao,1955-01-11,11,1,1955,71,Altres,Sí,Grup C,2371.0,0.02,2418.42
92573413K,Toni,Castells,Toni Castells,Espanya,Sí,Barcelona,1984-10-20,20,10,1984,41,Home,No,Grup C,1832.0,0.02,1868.64
96890044J,Felix,Schmidt Schmidt,Felix Schmidt Schmidt,Alemanya,No,Hamburg,1951-10-20,20,10,1951,74,Home,No,Grup C,1971.0,0.02,2010.42
82947791W,Jordi,García,Jordi García,Espanya,Sí,Barcelona,1984-05-23,23,5,1984,41,Home,Sí,Grup C,1699.0,0.02,1732.98
