DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
14473175F,Oriol,Castells,Oriol Castells,Espanya,Sí,Bilbao,1965-03-17,17,3,1965,61,Home,No,Grup B,2222.0,0.035,2299.77
56555741Z,Marco,Conti Rossi,Marco Conti Rossi,Itàlia,No,Roma,1986-01-04,4,1,1986,40,Home,No,Grup B,1450.0,0.035,1500.7499999999998
21390098Z,Mia,Fischer,Mia Fischer,Alemanya,No,Berlín,1950-08-11,11,8,1950,75,Dona,Sí,Grup B,1557.0,0.035,1611.495
14688639J,Toni,Castells Ferrer,Toni Castells Ferrer,Espanya,Sí,Barcelona,1974-11-15,15,11,1974,51,,No,Grup B,1840.0,0.035,1904.3999999999999
56867791S,Marc,Castells Sánchez,Marc Castells Sánchez,Espanya,Sí,Barcelona,2000-06-24,24,6,2000,25,Home,No,Grup B,1398.0,0.035,1446.9299999999998
80471691R,Laia,Sánchez,Laia Sánchez,Espanya,Sí,Sevilla,1982-03-03,3,3,1982,44,Dona,Sí,Grup B,1850.0,0.035,1914.7499999999998
66854670R,George,Jones Taylor,George Jones Taylor,Regne Unit,No,Londres,2000-05-27,27,5,2000,25,,No,Grup B,2100.0,0.035,2173.5
61862070S,Núria,Castells,Núria Castells,Espanya,Sí,València,1992-12-25,25,12,1992,33,Dona,Sí,Grup B,2023.0,0.035,2093.805
91287275Z,Luisa,González Cruz,Luisa González Cruz,Mèxic,No,Ciutat de Mèxic,1990-11-20,20,11,1990,35,Dona,Sí,Grup B,1201.0,0.035,1243.0349999999999
92774049Y,Oriol,Romero García,Oriol Romero García,Espanya,Sí,Barcelona,1972-09-05,5,9,1972,53,Home,No,Grup B,1461.0,0.035,1512.135
93432185G,Oriol,Martínez,Oriol Martínez,Espanya,Sí,Sevilla,1957-07-26,26,7,1957,68,Home,No,Grup B,2282.0,0.035,2361.87
20520614Y,Núria,Ferrer,Núria Ferrer,Espanya,Sí,Barcelona,1959-06-09,9,6,1959,66,,No,Grup B,1961.0,0.035,2029.6349999999998
42280605C,Clara,García,Clara García,Espanya,Sí,Sevilla,1951-10-16,16,10,1951,74,Dona,Sí,Grup B,1429.0,0.035,1479.0149999999999
66171387W,Valentina,Rojas,Valentina Rojas,Colòmbia,No,Bogotà,1959-09-06,6,9,1959,66,Dona,No,Grup B,1185.0,0.035,1226.475
59071537P,Carla,Sánchez,Carla Sánchez,Espanya,Sí,Madrid,1990-07-02,2,7,1990,35,Dona,Sí,Grup B,1522.0,0.035,1575.27
17102266H,Marta,Romero García,Marta Romero García,Espanya,Sí,València,1972-04-03,3,4,1972,54,Altres,Sí,Grup B,1350.0,0.035,1397.25
21135917V,Valentina,Torres,Valentina Torres,Colòmbia,No,Bogotà,1968-01-14,14,1,1968,58,Dona,No,Grup B,2040.0,0.035,2111.3999999999996
47660164G,Jordi,Romero Martínez,Jordi Romero Martínez,Espanya,Sí,Barcelona,1983-06-11,11,6,1983,42,Home,No,Grup B,2303.0,0.035,2383.605
62152209S,Laia,García,Laia García,Espanya,Sí,Madrid,1991-08-09,9,8,1991,34,Dona,No,Grup B,1495.0,0.035,1547.3249999999998
29753711H,Anna,Ferrer Castells,Anna Ferrer Castells,Espanya,Sí,Bilbao,1992-08-18,18,8,1992,33,Dona,Sí,Grup B,1317.0,0.035,1363.0949999999998
57378189F,Toni,López,Toni López,Espanya,Sí,Madrid,1964-10-12,12,10,1964,61,Home,Sí,Grup B,1367.0,0.035,1414.8449999999998
79676573H,Marta,Ferrer Sánchez,Marta Ferrer Sánchez,Espanya,Sí,València,1952-03-18,18,3,1952,74,Dona,Sí,Grup B,1299.0,0.035,1344.465
96964440V,Marco,Russo,Marco Russo,Itàlia,No,Torí,1982-07-13,13,7,1982,43,Home,No,Grup B,2194.0,0.035,2270.79
14889781M,Lucas,Álvarez Álvarez,Lucas Álvarez Álvarez,Argentina,No,Còrdova,1981-05-17,17,5,1981,45,Home,Sí,Grup B,1912.0,0.035,1978.9199999999998
16129804M,Arnau,García,Arnau García,Espanya,Sí,València,1953-02-11,11,2,1953,73,Home,No,Grup B,1886.0,0.035,1952.0099999999998
92922593Z,Arnau,López,Arnau López,Espanya,Sí,Madrid,1994-04-04,4,4,1994,32,Altres,No,Grup B,1803.0,0.035,1866.1049999999998
89271483K,Camila,Ramírez González,Camila Ramírez González,Mèxic,No,Guadalajara,1965-04-10,10,4,1965,61,Dona,No,Grup B,1853.0,0.035,1917.8549999999998
59372221S,Laia,Ferrer,Laia Ferrer,Espanya,Sí,Bilbao,1978-05-22,22,5,1978,47,Dona,No,Grup B,1218.0,0.035,1260.6299999999999
61477292C,Marta,Romero,Marta Romero,Espanya,Sí,Bilbao,1978-07-08,8,7,1978,47,Dona,No,Grup B,1846.0,0.035,1910.61
13998302S,Clara,Ferrer Martínez,Clara Ferrer Martínez,Espanya,Sí,Sevilla,1951-05-24,24,5,1951,74,Dona,No,Grup B,1767.0,0.035,1828.8449999999998
72888019J,María,González Hernández,María González Hernández,Mèxic,No,Ciutat de Mèxic,1965-07-14,14,7,1965,60,Dona,No,Grup B,1615.0,0.035,1671.5249999999999
99123197C,Marc,Sánchez Castells,Marc Sánchez Castells,Espanya,Sí,Sevilla,1980-03-21,21,3,1980,46,Home,No,Grup B,1279.0,0.035,1323.7649999999999
37655961A,Núria,García,Núria García,Espanya,Sí,Barcelona,1989-05-02,2,5,1989,37,Dona,Sí,Grup B,1627.0,0.035,1683.945
50292113M,Laia,López,Laia López,Espanya,Sí,Madrid,1984-04-21,21,4,1984,42,Dona,Sí,Grup B,1179.0,0.035,1220.2649999999999
68186758D,Carla,García,Carla García,Espanya,Sí,Barcelona,2001-10-06,6,10,2001,24,Dona,Sí,Grup B,1962.0,0.035,2030.6699999999998
10882370B,Núria,Romero Martínez,Núria Romero Martínez,Espanya,Sí,València,2004-03-16,16,3,2004,22,Dona,Sí,Grup B,1378.0,0.035,1426.2299999999998
89173930Q,Sophie,Moreau Lefevre,Sophie Moreau Lefevre,França,No,Marsella,1995-01-11,11,1,1995,31,Dona,Sí,Grup B,1742.0,0.035,1802.9699999999998
50829502T,Núria,Ferrer Romero,Núria Ferrer Romero,Espanya,Sí,Sevilla,1989-03-16,16,3,1989,37,Dona,No,Grup B,1257.0,0.035,1300.995
53457611N,Arnau,López López,Arnau López López,Espanya,Sí,Bilbao,1991-06-06,6,6,1991,34,Home,No,Grup B,1382.0,0.035,1430.37
59779704A,Clara,Romero López,Clara Romero López,Espanya,Sí,Barcelona,1985-12-08,8,12,1985,40,Dona,Sí,Grup B,1385.0,0.035,1433.475
35566470L,Carla,López Sánchez,Carla López Sánchez,Espanya,Sí,Bilbao,1961-10-11,11,10,1961,64,Dona,Sí,Grup B,1626.0,0.035,1682.9099999999999
93122931K,Toni,Ferrer,Toni Ferrer,Espanya,Sí,Bilbao,1957-09-05,5,9,1957,68,Home,No,Grup B,1415.0,0.035,1464.5249999999999
63960462M,Anna,Castells Martínez,Anna Castells Martínez,Espanya,Sí,Bilbao,1959-03-06,6,3,1959,67,Dona,Sí,Grup B,1561.0,0.035,1615.6349999999998
43756083N,Mia,Fischer,Mia Fischer,Alemanya,No,Munic,1953-09-08,8,9,1953,72,Dona,No,Grup B,1666.0,0.035,1724.31
28171073A,Núria,Martínez Romero,Núria Martínez Romero,Espanya,Sí,Bilbao,1965-07-09,9,7,1965,60,Dona,Sí,Grup B,1619.0,0.035,1675.665
17164182B,Sara,Torres Castro,Sara Torres Castro,Colòmbia,No,Medellín,1992-02-25,25,2,1992,34,Dona,Sí,Grup B,1334.0,0.035,1380.6899999999998
10352133N,Marco,Conti Russo,Marco Conti Russo,Itàlia,No,Torí,2005-01-28,28,1,2005,21,Home,No,Grup B,2002.0,0.035,2072.0699999999997
94310395L,Ali,Bennani,Ali Bennani,Marroc,No,Casablanca,1980-03-22,22,3,1980,46,Home,Sí,Grup B,2160.0,0.035,2235.6
13299063V,Marc,Ferrer García,Marc Ferrer García,Espanya,Sí,València,1996-04-21,21,4,1996,30,Home,No,Grup B,1618.0,0.035,1674.6299999999999
67537453P,Joan,Romero Martínez,Joan Romero Martínez,Espanya,Sí,Bilbao,1985-12-24,24,12,1985,40,Home,No,Grup B,1764.0,0.035,1825.7399999999998
97299170Q,Marta,Romero Ferrer,Marta Romero Ferrer,Espanya,Sí,Barcelona,1962-02-07,7,2,1962,64,Dona,Sí,Grup B,1336.0,0.035,1382.76
98511923W,Carla,Castells Castells,Carla Castells Castells,Espanya,Sí,Sevilla,1979-06-22,22,6,1979,46,Dona,No,Grup B,1845.0,0.035,1909.5749999999998
50115394L,Arnau,Martínez,Arnau Martínez,Espanya,Sí,Bilbao,1959-04-25,25,4,1959,67,Home,Sí,Grup B,1372.0,0.035,1420.02
15838881W,Marta,Romero,Marta Romero,Espanya,Sí,Sevilla,2002-10-26,26,10,2002,23,Dona,Sí,Grup B,1291.0,0.035,1336.185
88164399Q,Camille,Girard Lefevre,Camille Girard Lefevre,França,No,París,2001-01-26,26,1,2001,25,Dona,Sí,Grup B,1521.0,0.035,1574.235
83561180C,Carla,López,Carla López,Espanya,Sí,Bilbao,2003-07-07,7,7,2003,22,Dona,Sí,Grup B,1760.0,0.035,1821.6
80116589E,Toni,Castells Romero,Toni Castells Romero,Espanya,Sí,València,1988-08-26,26,8,1988,37,Home,Sí,Grup B,1292.0,0.035,1337.2199999999998
70945038M,Leon,Schneider,Leon Schneider,Alemanya,No,Munic,1981-05-05,5,5,1981,45,Home,No,Grup B,1672.0,0.035,1730.5199999999998
66590677S,Marta,García,Marta García,Espanya,Sí,Bilbao,1950-08-19,19,8,1950,75,Dona,No,Grup B,1431.0,0.035,1481.0849999999998
67472696R,Francesca,Ferrari Ferrari,Francesca Ferrari Ferrari,Itàlia,No,Torí,1990-04-21,21,4,1990,36,,No,Grup B,1316.0,0.035,1362.06
79349076S,Núria,Martínez Ferrer,Núria Martínez Ferrer,Espanya,Sí,Barcelona,1991-11-07,7,11,1991,34,Dona,No,Grup B,1506.0,0.035,1558.7099999999998
50085415G,Joan,García,Joan García,Espanya,Sí,Madrid,2000-10-22,22,10,2000,25,Home,No,Grup B,2067.0,0.035,2139.345
88571285P,Oriol,Castells,Oriol Castells,Espanya,Sí,Bilbao,1972-04-13,13,4,1972,54,Home,Sí,Grup B,1592.0,0.035,1647.7199999999998
53588164S,Jordi,Ferrer López,Jordi Ferrer López,Espanya,Sí,Madrid,1955-09-13,13,9,1955,70,Home,Sí,Grup B,1691.0,0.035,1750.185
29092175V,Marc,López Sánchez,Marc López Sánchez,Espanya,Sí,Sevilla,1968-04-11,11,4,1968,58,Home,No,Grup B,1315.0,0.035,1361.0249999999999
97241617V,Marta,López Sánchez,Marta López Sánchez,Espanya,Sí,Madrid,1992-05-17,17,5,1992,34,Dona,Sí,Grup B,1871.0,0.035,1936.485
44603694F,Toni,Castells,Toni Castells,Espanya,Sí,València,1964-09-04,4,9,1964,61,Home,No,Grup B,1297.0,0.035,1342.395
50351415W,Núria,Ferrer,Núria Ferrer,Espanya,Sí,Barcelona,2001-09-19,19,9,2001,24,Dona,Sí,Grup B,1147.0,0.035,1187.145
83461359C,Marc,Romero,Marc Romero,Espanya,Sí,Madrid,1984-08-02,2,8,1984,41,Home,No,Grup B,1635.0,0.035,1692.225
63487190Q,Laia,Castells López,Laia Castells López,Espanya,Sí,Barcelona,1969-11-15,15,11,1969,56,Dona,No,Grup B,1482.0,0.035,1533.87
89757860E,Eva,Castells Martínez,Eva Castells Martínez,Espanya,Sí,Barcelona,1996-07-15,15,7,1996,29,Dona,Sí,Grup B,1370.0,0.035,1417.9499999999998
60982309S,Lukas,Müller Fischer,Lukas Müller Fischer,Alemanya,No,Hamburg,1971-03-28,28,3,1971,55,Home,No,Grup B,2042.0,0.035,2113.47
49562152B,Marta,Ferrer,Marta Ferrer,Espanya,Sí,Madrid,1976-05-25,25,5,1976,49,Dona,No,Grup B,1922.0,0.035,1989.2699999999998
32909990R,Laia,Romero,Laia Romero,Espanya,Sí,Sevilla,1960-05-18,18,5,1960,66,Dona,No,Grup B,1354.0,0.035,1401.3899999999999
44724403H,Toni,Ferrer,Toni Ferrer,Espanya,Sí,Bilbao,1980-02-20,20,2,1980,46,Home,No,Grup B,1454.0,0.035,1504.8899999999999
54525691Y,Laia,García Ferrer,Laia García Ferrer,Espanya,Sí,Bilbao,1970-01-19,19,1,1970,56,Dona,No,Grup B,1765.0,0.035,1826.7749999999999
74821823F,Beatriz,Oliveira Ferreira,Beatriz Oliveira Ferreira,Portugal,No,Lisboa,1985-09-05,5,9,1985,40,Dona,Sí,Grup B,1548.0,0.035,1602.1799999999998
41974885N,Arnau,Ferrer Romero,Arnau Ferrer Romero,Espanya,Sí,València,1958-07-13,13,7,1958,67,Home,Sí,Grup B,1786.0,0.035,1848.5099999999998
78223675H,Santiago,Gutiérrez Torres,Santiago Gutiérrez Torres,Colòmbia,No,Medellín,1959-12-04,4,12,1959,66,Home,Sí,Grup B,2238.0,0.035,2316.33
64394445D,Gabriela,Ramírez,Gabriela Ramírez,Mèxic,No,Ciutat de Mèxic,1990-02-19,19,2,1990,36,Dona,Sí,Grup B,1569.0,0.035,1623.915
18457673C,Carla,Martínez,Carla Martínez,Espanya,Sí,València,1999-04-17,17,4,1999,27,Dona,No,Grup B,1281.0,0.035,1325.8349999999998
33585026G,Youssef,El Amrani Fassi,Youssef El Amrani Fassi,Marroc,No,Rabat,1981-10-13,13,10,1981,44,Home,No,Grup B,1785.0,0.035,1847.475
90216535S,Martina,Rodríguez Gómez,Martina Rodríguez Gómez,Argentina,No,Buenos Aires,1978-03-10,10,3,1978,48,Dona,Sí,Grup B,1292.0,0.035,1337.2199999999998
74822167B,Antoine,Lefevre,Antoine Lefevre,França,No,Marsella,1953-10-01,1,10,1953,72,Home,No,Grup B,1745.0,0.035,1806.0749999999998
23955973V,Eva,Ferrer Romero,Eva Ferrer Romero,Espanya,Sí,Bilbao,1976-05-19,19,5,1976,49,Dona,No,Grup B,1412.0,0.035,1461.4199999999998
72168409M,Lucas,Fernández Álvarez,Lucas Fernández Álvarez,Argentina,No,Còrdova,1993-04-27,27,4,1993,33,Home,Sí,Grup B,1992.0,0.035,2061.72
44215821L,Julieta,Rodríguez,Julieta Rodríguez,Argentina,No,Buenos Aires,1979-07-24,24,7,1979,46,Dona,No,Grup B,1181.0,0.035,1222.3349999999998
23058334Y,Jordi,Ferrer,Jordi Ferrer,Espanya,Sí,Sevilla,1993-03-05,5,3,1993,33,Home,Sí,Grup B,1653.0,0.035,1710.8549999999998
