DNI,Nom,Cognoms,Nombre_completo,País d'origen,Nacionalidad_esp,Ciutat,Fecha_de_nacimiento,Dia,Mes,Año,Edad,Gènere,Fills,Grup Professional,Salari mensual,Increment,Salario_incrementado
28973553Z,Mia,Schneider Fischer,Mia Schneider Fischer,Alemanya,No,Berlín,1976-10-22,22,10,1976,49,Altres,No,Grup A,951.0,0.05,998.5500000000001
43855905B,Eva,Castells,Eva Castells,Espanya,Sí,Madrid,1965-12-01,1,12,1965,60,Dona,No,Grup A,879.0,0.05,922.95
89977538X,Oriol,López Martínez,Oriol López Martínez,Espanya,Sí,Barcelona,1952-06-25,25,6,1952,73,Home,Sí,Grup A,1019.0,0.05,1069.95
47103299Z,Núria,Ferrer Romero,Núria Ferrer Romero,Espanya,Sí,València,2003-02-06,6,2,2003,23,,No,Grup A,1256.0,0.05,1318.8
18876645B,Matías,Gómez Álvarez,Matías Gómez Álvarez,Argentina,No,Buenos Aires,1955-12-04,4,12,1955,70,Home,No,Grup A,1313.0,0.05,1378.65
48870261R,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Bilbao,1962-08-16,16,8,1962,63,Home,No,Grup A,742.0,0.05,779.1
67466708W,Jordi,Romero,Jordi Romero,Espanya,Sí,Barcelona,1968-08-27,27,8,1968,57,Home,No,Grup A,808.0,0.05,848.4000000000001
95012750D,Carla,García,Carla García,Espanya,Sí,Sevilla,1952-05-17,17,5,1952,74,Dona,Sí,Grup A,963.0,0.05,1011.1500000000001
42754306Q,Toni,López Sánchez,Toni López Sánchez,Espanya,Sí,Barcelona,1975-02-25,25,2,1975,51,Home,No,Grup A,990.0,0.05,1039.5
17856143W,Anna,Martínez Martínez,Anna Martínez Martínez,Espanya,Sí,Bilbao,1972-09-26,26,9,1972,53,Dona,No,Grup A,780.0,0.05,819.0
38605068P,Toni,Martínez,Toni Martínez,Espanya,Sí,Sevilla,1982-07-24,24,7,1982,43,Home,Sí,Grup A,1515.0,0.05,1590.75
71226479A,Toni,Sánchez García,Toni Sánchez García,Espanya,Sí,Bilbao,2000-02-28,28,2,2000,26,Home,No,Grup A,1381.0,0.05,1450.05
10911456V,Marta,López,Marta López,Espanya,Sí,Sevilla,1954-06-06,6,6,1954,71,Dona,No,Grup A,1484.0,0.05,1558.2
58027402M,Joan,López,Joan López,Espanya,Sí,Madrid,1957-03-05,5,3,1957,69,Home,No,Grup A,967.0,0.05,1015.35
29075001G,Eva,Ferrer,Eva Ferrer,Espanya,Sí,Madrid,1974-01-27,27,1,1974,52,Dona,No,Grup A,1001.0,0.05,1051.05
75145716V,Joan,López,Joan López,Espanya,Sí,València,1952-02-01,1,2,1952,74,Home,No,Grup A,1502.0,0.05,1577.1000000000001
83083855T,Oriol,García,Oriol García,Espanya,Sí,València,2002-06-12,12,6,2002,23,Home,Sí,Grup A,1288.0,0.05,1352.4
66876326G,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,València,1984-06-19,19,6,1984,41,Home,Sí,Grup A,1243.0,0.05,1305.15
55802716W,Miguel,González,Miguel González,Mèxic,No,Ciutat de Mèxic,2002-03-22,22,3,2002,24,Home,No,Grup A,1531.0,0.05,1607.55
86310227T,Núria,Martínez,Núria Martínez,Espanya,Sí,Madrid,1986-03-19,19,3,1986,40,Dona,No,Grup A,1405.0,0.05,1475.25
79942683D,Valentina,Torres Torres,Valentina Torres Torres,Colòmbia,No,Medellín,1951-07-24,24,7,1951,74,,No,Grup A,1252.0,0.05,1314.6000000000001
17393705Z,Joan,Castells,Joan Castells,Espanya,Sí,Barcelona,1975-12-10,10,12,1975,50,Home,Sí,Grup A,1667.0,0.05,1750.3500000000001
94678339J,Anna,Martínez Martínez,Anna Martínez Martínez,Espanya,Sí,Sevilla,1985-04-10,10,4,1985,41,Dona,No,Grup A,1333.0,0.05,1399.65
82819660N,Michel,Moreau,Michel Moreau,França,No,Lió,1970-05-02,2,5,1970,56,Home,No,Grup A,810.0,0.05,850.5
98082914F,Anna,Ferrer Sánchez,Anna Ferrer Sánchez,Espanya,Sí,Bilbao,1982-10-21,21,10,1982,43,Dona,No,Grup A,1323.0,0.05,1389.15
96108474K,Clara,García,Clara García,Espanya,Sí,Sevilla,1955-03-10,10,3,1955,71,Dona,No,Grup A,809.0,0.05,849.45
96617848Y,Valentina,Gutiérrez Castro,Valentina Gutiérrez Castro,Colòmbia,No,Bogotà,2001-01-02,2,1,2001,25,Altres,No,Grup A,1064.0,0.05,1117.2
14944003P,Arnau,Sánchez López,Arnau Sánchez López,Espanya,Sí,Barcelona,1960-06-28,28,6,1960,65,Home,No,Grup A,1116.0,0.05,1171.8
34050427S,Daniela,Castro Castro,Daniela Castro Castro,Colòmbia,No,Medellín,1980-12-25,25,12,1980,45,Dona,No,Grup A,1167.0,0.05,1225.3500000000001
64134967K,Clara,Sánchez,Clara Sánchez,Espanya,Sí,Bilbao,1965-10-01,1,10,1965,60,Dona,Sí,Grup A,817.0,0.05,857.85
98288475Z,Youssef,Bennani,Youssef Bennani,Marroc,No,Casablanca,1957-09-20,20,9,1957,68,Home,Sí,Grup A,780.0,0.05,819.0
80981912X,Eva,Martínez,Eva Martínez,Espanya,Sí,Barcelona,1974-09-11,11,9,1974,51,Dona,No,Grup A,783.0,0.05,822.1500000000001
49728917R,Sophie,Taylor,Sophie Taylor,Regne Unit,No,Londres,1983-02-27,27,2,1983,43,Dona,No,Grup A,1469.0,0.05,1542.45
64074954W,Mohamed,Zahraoui,Mohamed Zahraoui,Marroc,No,Rabat,1950-11-18,18,11,1950,75,Home,No,Grup A,1496.0,0.05,1570.8
31039740J,Anna,Castells,Anna Castells,Espanya,Sí,Bilbao,1987-03-20,20,3,1987,39,Dona,No,Grup A,1381.0,0.05,1450.05
76740096F,Joan,Romero Romero,Joan Romero Romero,Espanya,Sí,Barcelona,1999-02-21,21,2,1999,27,Home,Sí,Grup A,1543.0,0.05,1620.15
42373200J,Anna,Sánchez,Anna Sánchez,Espanya,Sí,Barcelona,1984-07-17,17,7,1984,41,Altres,Sí,Grup A,1438.0,0.05,1509.9
91877877E,Tiago,Ferreira,Tiago Ferreira,Portugal,No,Porto,1993-11-22,22,11,1993,32,Home,Sí,Grup A,1246.0,0.05,1308.3
92828803F,Eva,Romero,Eva Romero,Espanya,Sí,València,1985-04-16,16,4,1985,41,Dona,Sí,Grup A,1077.0,0.05,1130.8500000000001
24213568B,Felipe,Torres,Felipe Torres,Colòmbia,No,Bogotà,1970-03-19,19,3,1970,56,Home,Sí,Grup A,1240.0,0.05,1302.0
69934163X,Laia,Martínez Ferrer,Laia Martínez Ferrer,Espanya,Sí,Bilbao,1956-10-19,19,10,1956,69,Dona,Sí,Grup A,981.0,0.05,1030.05
48108194K,Marta,Sánchez,Marta Sánchez,Espanya,Sí,Bilbao,1972-09-01,1,9,1972,53,Dona,No,Grup A,1154.0,0.05,1211.7
36035835A,Toni,Romero,Toni Romero,Espanya,Sí,València,1991-11-26,26,11,1991,34,Home,Sí,Grup A,1377.0,0.05,1445.8500000000001
25463106V,Núria,Ferrer,Núria Ferrer,Espanya,Sí,Barcelona,1957-04-18,18,4,1957,69,,Sí,Grup A,1396.0,0.05,1465.8
89652804F,Marc,Ferrer Castells,Marc Ferrer Castells,Espanya,Sí,Barcelona,2002-08-25,25,8,2002,23,Home,No,Grup A,1672.0,0.05,1755.6000000000001
42278299Y,Toni,Ferrer,Toni Ferrer,Espanya,Sí,Madrid,1967-08-19,19,8,1967,58,Home,No,Grup A,1563.0,0.05,1641.15
35072309W,Pau,Ferrer,Pau Ferrer,Espanya,Sí,Bilbao,1964-08-06,6,8,1964,61,Home,No,Grup A,1156.0,0.05,1213.8
85696755S,Marc,García,Marc García,Espanya,Sí,Barcelona,1998-07-23,23,7,1998,27,Home,Sí,Grup A,1341.0,0.05,1408.05
45293682M,Joan,Sánchez,Joan Sánchez,Espanya,Sí,Sevilla,1988-08-05,5,8,1988,37,Home,Sí,Grup A,1072.0,0.05,1125.6000000000001
68948799D,Clara,Castells García,Clara Castells García,Espanya,Sí,Bilbao,1964-01-11,11,1,1964,62,Dona,Sí,Grup A,1100.0,0.05,1155.0
18522481J,Oriol,Martínez,Oriol Martínez,Espanya,Sí,Madrid,1994-01-18,18,1,1994,32,Home,No,Grup A,1505.0,0.05,1580.25
23128433S,Anna,Müller,Anna Müller,Alemanya,No,Munic,1956-03-18,18,3,1956,70,Dona,No,Grup A,1280.0,0.05,1344.0
43378401L,Núria,Castells Sánchez,Núria Castells Sánchez,Espanya,Sí,Sevilla,1975-03-26,26,3,1975,51,Dona,No,Grup A,665.0,0.05,698.25
77333333Q,Pau,Ferrer,Pau Ferrer,Espanya,Sí,Sevilla,1999-01-01,1,1,1999,27,Home,No,Grup A,1538.0,0.05,1614.9
62356732M,Tiago,Silva Pereira,Tiago Silva Pereira,Portugal,No,Porto,1980-03-24,24,3,1980,46,Home,No,Grup A,1431.0,0.05,1502.55
78286678X,Marc,García Ferrer,Marc García Ferrer,Espanya,Sí,València,1998-08-16,16,8,1998,27,Home,No,Grup A,1193.0,0.05,1252.65
57021851P,Pau,Castells,Pau Castells,Espanya,Sí,Sevilla,1978-03-23,23,3,1978,48,Home,No,Grup A,819.0,0.05,859.95
76101195A,Jean,Lefevre,Jean Lefevre,França,No,Marsella,1959-10-08,8,10,1959,66,Home,No,Grup A,780.0,0.05,819.0
63688361W,Joan,García,Joan García,Espanya,Sí,Barcelona,1957-12-24,24,12,1957,68,Home,Sí,Grup A,1558.0,0.05,1635.9
96178808S,Pau,Romero Castells,Pau Romero Castells,Espanya,Sí,Madrid,1996-07-14,14,7,1996,29,Home,Sí,Grup A,1552.0,0.05,1629.6000000000001
98226417L,Giulia,Russo Conti,Giulia Russo Conti,Itàlia,No,Milà,1971-02-25,25,2,1971,55,Dona,No,Grup A,1044.0,0.05,1096.2
99620931S,Clara,Sánchez Castells,Clara Sánchez Castells,Espanya,Sí,València,1972-03-19,19,3,1972,54,Dona,No,Grup A,1156.0,0.05,1213.8
65405375Z,Marc,García Romero,Marc García Romero,Espanya,Sí,Sevilla,1982-01-02,2,1,1982,44,Home,No,Grup A,1126.0,0.05,1182.3
10674532Q,Jordi,Castells Ferrer,Jordi Castells Ferrer,Espanya,Sí,Bilbao,1979-02-23,23,2,1979,47,Home,No,Grup A,1219.0,0.05,1279.95
55464877X,Laia,Castells,Laia Castells,Espanya,Sí,Sevilla,1992-10-06,6,10,1992,33,,No,Grup A,1471.0,0.05,1544.55
30574341W,Oriol,García,Oriol García,Espanya,Sí,Madrid,1954-03-08,8,3,1954,72,Altres,No,Grup A,1562.0,0.05,1640.1000000000001
97566754L,Marc,Martínez Martínez,Marc Martínez Martínez,Espanya,Sí,Barcelona,2001-04-06,6,4,2001,25,,Sí,Grup A,1105.0,0.05,1160.25
54607036B,Eva,Ferrer,Eva Ferrer,Espanya,Sí,Sevilla,1967-01-24,24,1,1967,59,Dona,No,Grup A,809.0,0.05,849.45
27007812G,Toni,Romero,Toni Romero,Espanya,Sí,Barcelona,1989-12-09,9,12,1989,36,Home,Sí,Grup A,1659.0,0.05,1741.95
20733024B,Jordi,Ferrer Martínez,Jordi Ferrer Martínez,Espanya,Sí,Sevilla,1970-01-26,26,1,1970,56,Home,Sí,Grup A,1464.0,0.05,1537.2
53967981Q,Pau,Sánchez,Pau Sánchez,Espanya,Sí,Madrid,1982-12-01,1,12,1982,43,Altres,No,Grup A,854.0,0.05,896.7
52195959W,Carla,Castells García,Carla Castells García,Espanya,Sí,Bilbao,1994-01-07,7,1,1994,32,Dona,No,Grup A,1294.0,0.05,1358.7
93759961P,Alessandro,Russo Ferrari,Alessandro Russo Ferrari,Itàlia,No,Roma,1965-08-13,13,8,1965,60,Home,No,Grup A,940.0,0.05,987.0
45820844F,Michel,Lefevre,Michel Lefevre,França,No,Lió,1985-01-14,14,1,1985,41,Home,Sí,Grup A,821.0,0.05,862.0500000000001
89715580M,Salma,Zahraoui El Amrani,Salma Zahraoui El Amrani,Marroc,No,Rabat,1950-09-28,28,9,1950,75,Dona,No,Grup A,1141.0,0.05,1198.05
14065699S,Núria,Sánchez,Núria Sánchez,Espanya,Sí,Sevilla,1991-11-02,2,11,1991,34,Dona,No,Grup A,1027.0,0.05,1078.3500000000001
13695774G,Eva,Castells,Eva Castells,Espanya,Sí,Madrid,1957-11-20,20,11,1957,68,Dona,No,Grup A,1377.0,0.05,1445.8500000000001
15812105B,Marc,Martínez Ferrer,Marc Martínez Ferrer,Espanya,Sí,Madrid,1971-07-14,14,7,1971,54,Altres,No,Grup A,1199.0,0.05,1258.95
68523497H,Marta,Ferrer,Marta Ferrer,Espanya,Sí,Madrid,1986-10-06,6,10,1986,39,Dona,No,Grup A,1280.0,0.05,1344.0
85011730B,Oriol,García Castells,Oriol García Castells,Espanya,Sí,Barcelona,1955-06-18,18,6,1955,70,Home,No,Grup A,1212.0,0.05,1272.6000000000001
26724488C,Arnau,Ferrer Sánchez,Arnau Ferrer Sánchez,Espanya,Sí,Sevilla,1994-05-03,3,5,1994,32,Home,No,Grup A,1079.0,0.05,1132.95
76202240S,Louis,Moreau,Louis Moreau,França,No,Lió,1974-02-13,13,2,1974,52,Home,Sí,Grup A,1664.0,0.05,1747.2
59073585L,Oriol,Martínez Martínez,Oriol Martínez Martínez,Espanya,Sí,Sevilla,1991-06-14,14,6,1991,34,,Sí,Grup A,1122.0,0.05,1178.1000000000001
65912422Z,Carla,López,Carla López,Espanya,Sí,Barcelona,1965-07-18,18,7,1965,60,Dona,Sí,Grup A,1159.0,0.05,1216.95
18599075T,Eva,Sánchez,Eva Sánchez,Espanya,Sí,Sevilla,1992-08-07,7,8,1992,33,Dona,Sí,Grup A,999.0,0.05,1048.95
18968118M,Felipe,Gutiérrez Torres,Felipe Gutiérrez Torres,Colòmbia,No,Bogotà,2004-10-25,25,10,2004,21,Home,No,Grup A,1376.0,0.05,1444.8
52655443Q,Gabriela,Cruz González,Gabriela Cruz González,Mèxic,No,Ciutat de Mèxic,1955-01-03,3,1,1955,71,Dona,Sí,Grup A,1033.0,0.05,1084.65
77962069Z,Carla,Ferrer López,Carla Ferrer López,Espanya,Sí,València,1984-04-02,2,4,1984,42,Dona,Sí,Grup A,1495.0,0.05,1569.75
79849410R,Carla,Ferrer López,Carla Ferrer López,Espanya,Sí,Sevilla,1982-07-17,17,7,1982,43,Dona,No,Grup A,816.0,0.05,856.8000000000001
58786173A,Laia,Martínez,Laia Martínez,Espanya,Sí,Madrid,1979-02-26,26,2,1979,47,Dona,No,Grup A,1306.0,0.05,1371.3
80377928E,José,Hernández,José Hernández,Mèxic,No,Guadalajara,1992-01-12,12,1,1992,34,Altres,No,Grup A,1372.0,0.05,1440.6000000000001
35319597A,Toni,López Castells,Toni López Castells,Espanya,Sí,Sevilla,1977-08-18,18,8,1977,48,Home,No,Grup A,772.0,0.05,810.6
78873166E,Beatriz,Ferreira Ferreira,Beatriz Ferreira Ferreira,Portugal,No,Lisboa,1952-11-17,17,11,1952,73,,No,Grup A,974.0,0.05,1022.7
50776135C,Laia,Ferrer,Laia Ferrer,Espanya,Sí,Barcelona,1972-11-23,23,11,1972,53,Dona,No,Grup A,940.0,0.05,987.0
20477181R,Anna,Castells García,Anna Castells García,Espanya,Sí,Barcelona,1952-10-22,22,10,1952,73,Dona,No,Grup A,698.0,0.05,732.9
96251362T,Oriol,Ferrer Martínez,Oriol Ferrer Martínez,Espanya,Sí,Barcelona,1950-07-26,26,7,1950,75,Home,No,Grup A,954.0,0.05,1001.7
21898585T,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Barcelona,1981-06-18,18,6,1981,44,Home,Sí,Grup A,800.0,0.05,840.0
60439277L,Marc,Castells Sánchez,Marc Castells Sánchez,Espanya,Sí,Madrid,1974-10-24,24,10,1974,51,Home,No,Grup A,842.0,0.05,884.1
24418722F,Marta,Romero Sánchez,Marta Romero Sánchez,Espanya,Sí,Bilbao,1968-07-19,19,7,1968,57,Dona,No,Grup A,1036.0,0.05,1087.8
93647831W,Jordi,Sánchez Martínez,Jordi Sánchez Martínez,Espanya,Sí,Barcelona,1998-11-06,6,11,1998,27,Home,No,Grup A,1095.0,0.05,1149.75
63099488Q,Youssef,Fassi Zahraoui,Youssef Fassi Zahraoui,Marroc,No,Casablanca,2003-03-08,8,3,2003,23,Home,Sí,Grup A,1239.0,0.05,1300.95
16775772V,Pau,López,Pau López,Espanya,Sí,Madrid,1977-05-24,24,5,1977,48,Home,No,Grup A,847.0,0.05,889.35
58136944R,Marta,Ferrer,Marta Ferrer,Espanya,Sí,Barcelona,2001-06-28,28,6,2001,24,Dona,Sí,Grup A,1303.0,0.05,1368.15
43731528C,Oliver,Jones,Oliver Jones,Regne Unit,No,Londres,1959-06-01,1,6,1959,66,Home,Sí,Grup A,911.0,0.05,956.5500000000001
56628392X,Carla,García Martínez,Carla García Martínez,Espanya,Sí,Madrid,1981-04-19,19,4,1981,45,Dona,Sí,Grup A,1491.0,0.05,1565.55
37718344N,Marta,García Sánchez,Marta García Sánchez,Espanya,Sí,València,1962-02-03,3,2,1962,64,Dona,Sí,Grup A,1120.0,0.05,1176.0
77632270Q,Laia,Castells,Laia Castells,Espanya,Sí,Madrid,1986-04-11,11,4,1986,40,Dona,No,Grup A,917.0,0.05,962.85
80554783G,Sophie,Moreau Dubois,Sophie Moreau Dubois,França,No,Marsella,1956-04-27,27,4,1956,70,Dona,No,Grup A,1506.0,0.05,1581.3
76674953J,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Bilbao,1952-03-05,5,3,1952,74,Home,No,Grup A,1249.0,0.05,1311.45
10261037F,Clara,Sánchez,Clara Sánchez,Espanya,Sí,Sevilla,1970-10-14,14,10,1970,55,Dona,Sí,Grup A,938.0,0.05,984.9000000000001
72940295V,Tiago,Oliveira,Tiago Oliveira,Portugal,No,Porto,1989-03-22,22,3,1989,37,Home,Sí,Grup A,1354.0,0.05,1421.7
53263676R,Chloé,Girard,Chloé Girard,França,No,París,1952-10-05,5,10,1952,73,Dona,Sí,Grup A,741.0,0.05,778.0500000000001
69900538Q,Núria,López Romero,Núria López Romero,Espanya,Sí,Barcelona,1957-09-17,17,9,1957,68,Dona,No,Grup A,1047.0,0.05,1099.3500000000001
97525504X,Laia,Martínez,Laia Martínez,Espanya,Sí,Barcelona,1951-01-22,22,1,1951,75,Dona,Sí,Grup A,1188.0,0.05,1247.4
49833520M,Marta,García Romero,Marta García Romero,Espanya,Sí,Madrid,1984-10-27,27,10,1984,41,Dona,No,Grup A,954.0,0.05,1001.7
30736318Q,Élise,Moreau,Élise Moreau,França,No,París,2001-07-25,25,7,2001,24,Dona,No,Grup A,930.0,0.05,976.5
57192874B,Pau,Romero Romero,Pau Romero Romero,Espanya,Sí,Sevilla,1990-04-12,12,4,1990,36,Home,No,Grup A,940.0,0.05,987.0
31682831V,Daniela,Torres,Daniela Torres,Colòmbia,No,Medellín,1970-05-17,17,5,1970,56,Dona,Sí,Grup A,1064.0,0.05,1117.2
81401769X,Clara,Ferrer,Clara Ferrer,Espanya,Sí,València,2002-12-14,14,12,2002,23,Dona,Sí,Grup A,979.0,0.05,1027.95
98052221N,Marta,Martínez,Marta Martínez,Espanya,Sí,Bilbao,1973-06-22,22,6,1973,52,Dona,No,Grup A,818.0,0.05,858.9000000000001
68625528R,Jordi,López,Jordi López,Espanya,Sí,València,1996-05-01,1,5,1996,30,Home,Sí,Grup A,1319.0,0.05,1384.95
58101481N,Jordi,Sánchez,Jordi Sánchez,Espanya,Sí,Bilbao,1993-04-20,20,4,1993,33,Home,No,Grup A,1289.0,0.05,1353.45
12401771G,Anna,García,Anna García,Espanya,Sí,Madrid,1972-07-19,19,7,1972,53,,No,Grup A,1019.0,0.05,1069.95
16472230S,Clara,Ferrer García,Clara Ferrer García,Espanya,Sí,València,1957-01-26,26,1,1957,69,Dona,Sí,Grup A,696.0,0.05,730.8000000000001
29758839B,Eva,García Sánchez,Eva García Sánchez,Espanya,Sí,Madrid,1968-05-28,28,5,1968,57,Dona,No,Grup A,948.0,0.05,995.4000000000001
34349532Y,Marc,Ferrer Sánchez,Marc Ferrer Sánchez,Espanya,Sí,Barcelona,1977-07-15,15,7,1977,48,Home,No,Grup A,1674.0,0.05,1757.7
52037173E,Núria,García Martínez,Núria García Martínez,Espanya,Sí,Barcelona,2005-05-26,26,5,2005,20,Dona,Sí,Grup A,1320.0,0.05,1386.0
38355195J,Pau,Ferrer García,Pau Ferrer García,Espanya,Sí,València,1984-09-14,14,9,1984,41,Home,Sí,Grup A,1269.0,0.05,1332.45
61746871V,Alessandro,Ferrari,Alessandro Ferrari,Itàlia,No,Torí,1972-04-13,13,4,1972,54,Altres,Sí,Grup A,1334.0,0.05,1400.7
59810160K,Jordi,Romero Ferrer,Jordi Romero Ferrer,Espanya,Sí,Madrid,2002-04-15,15,4,2002,24,Home,No,Grup A,1289.0,0.05,1353.45
10102138Q,Núria,Sánchez Martínez,Núria Sánchez Martínez,Espanya,Sí,Madrid,1958-01-04,4,1,1958,68,Dona,No,Grup A,1450.0,0.05,1522.5
23266650S,Lea,Müller,Lea Müller,Alemanya,No,Hamburg,2003-04-14,14,4,2003,23,Dona,No,Grup A,1314.0,0.05,1379.7
74165595P,Jordi,Castells,Jordi Castells,Espanya,Sí,Bilbao,1953-06-01,1,6,1953,72,Home,Sí,Grup A,1326.0,0.05,1392.3
37325572G,Carla,López López,Carla López López,Espanya,Sí,Barcelona,1956-03-07,7,3,1956,70,Dona,Sí,Grup A,812.0,0.05,852.6
21309247F,Oriol,García Ferrer,Oriol García Ferrer,Espanya,Sí,Barcelona,2003-12-09,9,12,2003,22,Home,Sí,Grup A,1603.0,0.05,1683.15
92913286B,Michel,Dubois Dubois,Michel Dubois Dubois,França,No,Lió,1979-09-04,4,9,1979,46,Home,No,Grup A,1095.0,0.05,1149.75
71124235C,Carla,Ferrer,Carla Ferrer,Espanya,Sí,Barcelona,1987-10-27,27,10,1987,38,Dona,No,Grup A,836.0,0.05,877.8000000000001
42839231P,Arnau,López Martínez,Arnau López Martínez,Espanya,Sí,Barcelona,1972-11-15,15,11,1972,53,Home,No,Grup A,1587.0,0.05,1666.3500000000001
90781919E,Miguel,González,Miguel González,Mèxic,No,Guadalajara,1955-09-15,15,9,1955,70,Home,No,Grup A,1174.0,0.05,1232.7
43099073D,Marc,Martínez Martínez,Marc Martínez Martínez,Espanya,Sí,Bilbao,2001-01-04,4,1,2001,25,Home,Sí,Grup A,1668.0,0.05,1751.4
71930041T,Oriol,Romero Castells,Oriol Romero Castells,Espanya,Sí,València,1970-04-25,25,4,1970,56,Home,No,Grup A,1466.0,0.05,1539.3
20637004R,Jordi,Romero López,Jordi Romero López,Espanya,Sí,Sevilla,1973-03-13,13,3,1973,53,Home,No,Grup A,1366.0,0.05,1434.3
16777341F,José,González,José González,Mèxic,No,Ciutat de Mèxic,1973-08-16,16,8,1973,52,Home,No,Grup A,1026.0,0.05,1077.3
38867232T,Eva,García,Eva García,Espanya,Sí,València,1950-09-28,28,9,1950,75,Dona,No,Grup A,756.0,0.05,793.8000000000001
15056420W,George,Taylor Taylor,George Taylor Taylor,Regne Unit,No,Londres,1965-09-08,8,9,1965,60,Home,Sí,Grup A,1135.0,0.05,1191.75
21786454M,Laia,Martínez,Laia Martínez,Espanya,Sí,Barcelona,1951-02-11,11,2,1951,75,Dona,No,Grup A,1306.0,0.05,1371.3
28269893J,Joan,Martínez Martínez,Joan Martínez Martínez,Espanya,Sí,València,1960-02-01,1,2,1960,66,Home,No,Grup A,1010.0,0.05,1060.5
26819385K,Sara,Torres Castro,Sara Torres Castro,Colòmbia,No,Medellín,1987-08-08,8,8,1987,38,Dona,No,Grup A,1045.0,0.05,1097.25
66434842X,James,Smith,James Smith,Regne Unit,No,Londres,1954-06-01,1,6,1954,71,Home,No,Grup A,1078.0,0.05,1131.9
63679621R,Laia,Martínez Romero,Laia Martínez Romero,Espanya,Sí,Barcelona,1958-09-05,5,9,1958,67,Dona,No,Grup A,1045.0,0.05,1097.25
12700084Q,Pau,Ferrer López,Pau Ferrer López,Espanya,Sí,Madrid,1966-02-16,16,2,1966,60,,Sí,Grup A,1183.0,0.05,1242.15
62868203H,Marta,López,Marta López,Espanya,Sí,Madrid,1988-08-26,26,8,1988,37,Dona,Sí,Grup A,1339.0,0.05,1405.95
94719538H,Carla,Romero Ferrer,Carla Romero Ferrer,Espanya,Sí,Sevilla,1991-05-28,28,5,1991,34,Dona,No,Grup A,730.0,0.05,766.5
57512928A,Laura,Castro Gutiérrez,Laura Castro Gutiérrez,Colòmbia,No,Bogotà,1950-02-18,18,2,1950,76,Dona,No,Grup A,995.0,0.05,1044.75
80030295H,Carla,Romero López,Carla Romero López,Espanya,Sí,Barcelona,2002-05-23,23,5,2002,23,Dona,Sí,Grup A,776.0,0.05,814.8000000000001
25373007Z,Eva,García,Eva García,Espanya,Sí,Madrid,1971-03-10,10,3,1971,55,,Sí,Grup A,1228.0,0.05,1289.4
90109014Q,Mia,Schneider Müller,Mia Schneider Müller,Alemanya,No,Munic,1957-03-28,28,3,1957,69,Dona,No,Grup A,766.0,0.05,804.3000000000001
54523654J,Jordi,Romero Romero,Jordi Romero Romero,Espanya,Sí,València,1984-06-11,11,6,1984,41,Home,No,Grup A,972.0,0.05,1020.6
14486584J,Marta,Romero Castells,Marta Romero Castells,Espanya,Sí,València,1988-12-12,12,12,1988,37,Dona,No,Grup A,835.0,0.05,876.75
74694535Z,Lucía,Fernández,Lucía Fernández,Argentina,No,Buenos Aires,1953-08-08,8,8,1953,72,Dona,No,Grup A,764.0,0.05,802.2
